title,medium,culture,department,region
Miniature tabard,"Cotton, camelid hair, silk, metal",Inca and Spanish,The Michael C. Rockefeller Wing,none
Textile Fragment,"Silk, silvered (?) animal substrate wound around a cotton core; lampas",none,Islamic Art,Eastern Islamic Lands
Piece,Wool and silk,none,European Sculpture and Decorative Arts,none
Arkilla kunta (interior hanging),"Wool, cotton, dye",Fulani peoples,The Michael C. Rockefeller Wing,none
Seasons and Elements (Summer) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 per sq. cm.)",none,European Sculpture and Decorative Arts,none
Seasons and Elements (Fire) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 per sq. cm.)",none,European Sculpture and Decorative Arts,none
Seasons and Elements (Spring) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 per sq. cm.)",none,European Sculpture and Decorative Arts,none
Velvet panel,Velvet,American,The American Wing,none
Textile fragment,"Wool, cotton",Sasanian,Ancient West Asian Art,Iran
The Tukad Kad Sequence #04,"Split bamboo pus weave with kayu obol black natural dye, matt sealant",none,Modern and Contemporary Art,none
Seasons and Elements (Air) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 stitches per sq. cm.)",none,European Sculpture and Decorative Arts,none
<Tiraz> Textile Fragment,"Cotton; plain weave, painted",none,Islamic Art,none
Textile with Musicians,"Silk, gilt animal substrate around a silk core; lampas",none,Islamic Art,none
"Don Quixote Tilting at Windmills, from “Don Quixote in Grotesques”","Wool, silk and precious metal-wrapped threads",none,European Sculpture and Decorative Arts,none
Hanging (Arid),"Linen, silk; plain weave, embroidered",none,Islamic Art,none
Textile Panel of Chintz,Cotton; printed,none,Islamic Art,none
Textile Fragment with Birds,"Silk, gilt animal substrate around a silk core; lampas",Spanish,Medieval Art,none
Textile Fragment with Double-Headed Eagles,Silk,Islamic,Medieval Art,none
Chasuble,"Silk, metal wrapped thread; lampas (kemha)",none,Islamic Art,none
Cope,"Silk, cotton, metal wrapped thread; cut and voided velvet, brocaded, embroidered, with engraved metal fittings",none,Islamic Art,none
Sampler with needle lace and cutwork,"Linen embroidered with linen thread; reticella, satin, and eye stitches",none,European Sculpture and Decorative Arts,none
Mpu prestige cap,Raffia palm fiber,Kongo peoples,The Michael C. Rockefeller Wing,none
"""La Rose d'Iribe""","(a)silk, (b) linen, wool, cotton",French,Costume Institute,none
Adam and Eve with Charles I and Henrietta Maria,Canvas worked with silk and metal thread; tent and couching stitches,none,European Sculpture and Decorative Arts,none
Belt (Umutsha),"Cloth, glass beads, leather, metal",Zulu or Nguni peoples,The Michael C. Rockefeller Wing,none
Belt (Umutsha),"Fiber, glass beads, brass beads, leather, basketry, cloth",Zulu or Nguni peoples,The Michael C. Rockefeller Wing,none
Umbhaco wrap skirt,"Cotton, wool, glass beads, shell, ocher pigment",Xhosa or Mfengu peoples,The Michael C. Rockefeller Wing,none
Armchair,"Carved and gilded wood; wool, silk",none,European Sculpture and Decorative Arts,none
Armchair,"Carved and gilded wood; wool, silk",none,European Sculpture and Decorative Arts,none
Armchair,"Carved and gilded wood; wool, silk",none,European Sculpture and Decorative Arts,none
Armchair,"Carved and gilded wood; wool, silk",none,European Sculpture and Decorative Arts,none
America,"Carved and gilded wood; wool, silk",none,European Sculpture and Decorative Arts,none
Settee,"Carved and gilded wood; wool, silk",none,European Sculpture and Decorative Arts,none
Sarasa with Small Rosettes,"Cotton (painted resist and mordant, dyed)","India (Coromandel Coast), for the Japanese market",Asian Art,none
Miniature Dress,"Cotton, feathers",Ica,The Michael C. Rockefeller Wing,Ica Valley
Charles I,Silk and metal thread on silk,none,European Sculpture and Decorative Arts,none
Hunting and fishing scenes,Linen and cotton,none,European Sculpture and Decorative Arts,none
Miniature Dress,"Cotton, feathers",Ica,The Michael C. Rockefeller Wing,Ica Valley
