title,medium,culture,department,region
Miniature tabard,"Cotton, camelid hair, silk, metal",Inca and Spanish,The Michael C. Rockefeller Wing,none
Textile Fragment,"Silk, silvered (?) animal substrate wound around a cotton core; lampas",none,Islamic Art,Eastern Islamic Lands
Palma with textile motif,"Stone, pigment",Veracruz,The Michael C. Rockefeller Wing,Mesoamerica
Piece,Wool and silk,none,European Sculpture and Decorative Arts,none
Field Armor of King Henry VIII of England (reigned 1509–47),"Steel, gold, textile, leather","Italian, Milan or Brescia",Arms and Armor,none
Arkilla kunta (interior hanging),"Wool, cotton, dye",Fulani peoples,The Michael C. Rockefeller Wing,none
Seasons and Elements (Summer) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 per sq. cm.)",none,European Sculpture and Decorative Arts,none
Seasons and Elements (Fire) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 per sq. cm.)",none,European Sculpture and Decorative Arts,none
Seasons and Elements (Spring) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 per sq. cm.)",none,European Sculpture and Decorative Arts,none
Velvet panel,Velvet,American,The American Wing,none
Textile fragment,"Wool, cotton",Sasanian,Ancient West Asian Art,Iran
The Tukad Kad Sequence #04,"Split bamboo pus weave with kayu obol black natural dye, matt sealant",none,Modern and Contemporary Art,none
Seasons and Elements (Air) (set of four),"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 stitches per sq. cm.)",none,European Sculpture and Decorative Arts,none
<Tiraz> Textile Fragment,"Cotton; plain weave, painted",none,Islamic Art,none
Textile with Musicians,"Silk, gilt animal substrate around a silk core; lampas",none,Islamic Art,none
"Don Quixote Tilting at Windmills, from “Don Quixote in Grotesques”","Wool, silk and precious metal-wrapped threads",none,European Sculpture and Decorative Arts,none
Hanging (Arid),"Linen, silk; plain weave, embroidered",none,Islamic Art,none
Textile Panel of Chintz,Cotton; printed,none,Islamic Art,none
Textile Fragment with Birds,"Silk, gilt animal substrate around a silk core; lampas",Spanish,Medieval Art,none
Textile Fragment with Double-Headed Eagles,Silk,Islamic,Medieval Art,none
"Gold-inlaid Colt Model 1851 Navy Revolver (serial no. 20133), with Case and Accessories","Steel, copper alloy, gold, wood (walnut), textile, glass, cork, bone, pewter, paper","American, Hartford, Connecticut",Arms and Armor,none
Madame Marsollier and Her Daughter,Oil on canvas,none,European Paintings,none
Chasuble,"Silk, metal wrapped thread; lampas (kemha)",none,Islamic Art,none
Plaque with equestrian ọ́bà (king) and attendants,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Young Woman with a Lute,Oil on canvas,none,European Paintings,none
Stela of Ramesses II,Limestone,none,Egyptian Art,"Upper Egypt, Thebes"
Terracotta kylix (drinking cup),Terracotta,"Greek, Attic",Greek and Roman Art,none
Cope,"Silk, cotton, metal wrapped thread; cut and voided velvet, brocaded, embroidered, with engraved metal fittings",none,Islamic Art,none
Sampler with needle lace and cutwork,"Linen embroidered with linen thread; reticella, satin, and eye stitches",none,European Sculpture and Decorative Arts,none
Mpu prestige cap,Raffia palm fiber,Kongo peoples,The Michael C. Rockefeller Wing,none
"""La Rose d'Iribe""","(a)silk, (b) linen, wool, cotton",French,Costume Institute,none
Pendant mask of Ìyọ́bà Idià,"Ivory, iron, brass, coal, traces of iron oxides",Edo peoples,The Michael C. Rockefeller Wing,none
Adam and Eve with Charles I and Henrietta Maria,Canvas worked with silk and metal thread; tent and couching stitches,none,European Sculpture and Decorative Arts,none
Belt (Umutsha),"Cloth, glass beads, leather, metal",Zulu or Nguni peoples,The Michael C. Rockefeller Wing,none
Belt (Umutsha),"Fiber, glass beads, brass beads, leather, basketry, cloth",Zulu or Nguni peoples,The Michael C. Rockefeller Wing,none
Plaque with Warrior and Attendants,Brass,Edo peoples,The Michael C. Rockefeller Wing,Court of Benin
Standing figure,Stone,Tiwanaku,The Michael C. Rockefeller Wing,none
